edge_id,u_id,v_id,time_s,dist_m,weight,province,province_start,province_end,is_crossing,is_outside
9440,6185,6180,4021.520454095041,2234.1780300528008,4021.520454095041,Achaia,Achaia,Achaia,False,False
9448,6185,6191,4645.484174241136,2580.8245412450756,4645.484174241136,Achaia,Achaia,Achaia,False,False
9444,6185,6183,2072.9478865109113,1151.6377147282842,2072.9478865109113,Achaia,Achaia,Achaia,False,False
9439,6180,6181,20701.471550972336,11500.817528317966,20701.471550972336,Achaia,Achaia,Achaia,False,False
9436,6180,6177,3552.45139671821,1973.5841092878948,3552.45139671821,Achaia,Achaia,Achaia,False,False
9456,6191,6204,6966.667287668997,3870.370715371665,6966.667287668997,Achaia,Achaia,Achaia,False,False
9455,6191,6196,19810.264642677088,11005.702579265051,19810.264642677088,Achaia,Achaia,Achaia,False,False
9442,6183,6182,319.44582516102065,177.4699028672337,319.44582516102065,Achaia,Achaia,Achaia,False,False
9445,6183,6210,20045.825142017504,11136.569523343058,20045.825142017504,Achaia,Achaia,Achaia,False,False
8969,5856,5851,64915.536287225266,36064.18682623626,64915.536287225266,Achaia,Achaia,Achaia,False,False
8977,5856,5874,21311.67540398593,11839.819668881071,21311.67540398593,Achaia,Achaia,Achaia,False,False
8962,5856,5846,10588.727156806019,5882.626198225566,10588.727156806019,Achaia,Achaia,Achaia,False,False
8902,5851,5807,72123.95212060466,40068.86228922482,72123.95212060466,Achaia,Achaia,Achaia,False,False
8970,5851,5919,66784.49485829796,37102.497143498906,66784.49485829796,Achaia,Achaia,Achaia,False,False
8227,5351,5373,91589.49009041686,50883.05005023158,91589.49009041686,Dalmatia,Dalmatia,Dalmatia,False,False
8216,5351,5344,20802.912954654777,11557.173863697097,20802.912954654777,Dalmatia,Dalmatia,Dalmatia,False,False
8196,5351,5330,35931.019799031346,19961.677666128533,35931.019799031346,Dalmatia,Dalmatia,Dalmatia,False,False
8258,5373,5383,83914.52174327012,46619.178746261154,83914.52174327012,Dalmatia,Dalmatia,Dalmatia,False,False
8254,5373,5370,6837.851573299904,3798.806429611057,6837.851573299904,Dalmatia,Dalmatia,Dalmatia,False,False
8217,5344,5370,79729.91121320796,44294.395118448854,79729.91121320796,Dalmatia,Dalmatia,Dalmatia,False,False
8199,5344,5332,32529.011933243855,18071.673296246587,32529.011933243855,Dalmatia,Dalmatia,Dalmatia,False,False
8195,5330,5331,2150.4562979564125,1194.697943309118,2150.4562979564125,Dalmatia,Dalmatia,Dalmatia,False,False
8185,5330,5324,21428.274442233123,11904.59691235174,21428.274442233123,Dalmatia,Dalmatia,Dalmatia,False,False
7834,5090,5099,19897.75216521873,11054.306758454853,19897.75216521873,Apulia et Calabria (Regio II),Apulia et Calabria (Regio II),Apulia et Calabria (Regio II),False,False
7773,5090,5051,69695.16057049087,38719.53365027269,69695.16057049087,Apulia et Calabria (Regio II),Apulia et Calabria (Regio II),Apulia et Calabria (Regio II),False,False
7833,5090,5091,136665.57430706982,75925.31905948312,136665.57430706982,Apulia et Calabria (Regio II),Apulia et Calabria (Regio II),Bruttium et Lucania (Regio III),True,False
7775,5099,5052,94372.34092277708,52429.07829043172,94372.34092277708,Apulia et Calabria (Regio II),Apulia et Calabria (Regio II),Apulia et Calabria (Regio II),False,False
7847,5099,5102,6174.089928371619,3430.0499602064565,6174.089928371619,Apulia et Calabria (Regio II),Apulia et Calabria (Regio II),Apulia et Calabria (Regio II),False,False
