province,eci_median,eci_Q1,eci_Q3,eci_mean,eci_sd,eci_min,eci_max,n_draws
Asia,-3.11511791483757,-3.35609805432693,-2.6664590110636173,-3.0154909990687613,0.40320962987136216,-3.66634852841488,-2.11540565280232,1000.0
Lycia et Pamphylia,-2.12929934472063,-2.4955149728993775,-1.9301060607611875,-2.225295723043585,0.3379751814427535,-2.94302546080581,-1.74766974622487,1000.0
Bithynia et Pontus,-1.86040651466603,-2.04962265580855,-1.5404464034706975,-1.862242853577274,0.41398041573962047,-2.7849863952363,-1.09679864656439,1000.0
Galatia,-1.79965322284596,-1.95615193931754,-1.453226943065355,-1.717003894349407,0.3507058065095444,-2.381658223419,-1.08327829683243,1000.0
Cilicia,-0.807244684594591,-0.9610771465441015,-0.7561958061149969,-0.8427276324029206,0.1700193071415176,-1.2385998854349,-0.484754499666272,1000.0
Sicilia,-0.734817048856667,-0.816834161865516,-0.5413200955162012,-0.7134076620204873,0.169838999269125,-1.1013775106407,-0.408310215302987,1000.0
Achaia,-0.711253514966641,-0.7839658122600357,-0.5528327769178513,-0.7116151775826838,0.23777858773017108,-1.38178895646151,-0.285560067815497,1000.0
Macedonia,-0.526481855989068,-0.5910161938721983,-0.39034099962690977,-0.478829435391079,0.229917920801188,-0.932800802156356,0.13822803074882,1000.0
Aegyptus,-0.5243832215611426,-0.640956479832255,-0.31674547879570797,-0.4706023751266613,0.22721679783252813,-0.829927713806997,0.0997471306133003,1000.0
Etruria (Regio VII),-0.476908817960536,-0.6421950902778192,-0.2725969369644515,-0.453448402147009,0.23808334809708895,-0.934180906320256,-0.0079875626961646,1000.0
Samnium (Regio IV),-0.4670551533818465,-0.5452426896341718,-0.35319243344021,-0.45162973298458836,0.1261795769390865,-0.821817762690586,-0.177929735764213,1000.0
Epirus,-0.46520691331808195,-0.586999634903813,-0.27904012450854276,-0.4530667637291549,0.16865417236372354,-0.815902453882225,-0.158858690316616,1000.0
Iudaea,-0.4539051914486625,-0.5789366753207102,-0.3456316023490505,-0.48036381532240296,0.1872159243289955,-0.904970164346289,-0.13490718493415,1000.0
Syria,-0.4444394214553905,-0.616003304124905,-0.19359148843614427,-0.4320515066427738,0.2380578467495318,-0.955001173698105,0.105538652311613,1000.0
Baetica,-0.3920254632272645,-0.548848282664295,-0.30595444766360047,-0.4203958512963668,0.13601878001280782,-0.751727661346858,0.0345018934233983,1000.0
Creta,-0.357551465632799,-0.406303490156956,-0.337348758756193,-0.3781614362347037,0.06631224615691496,-0.556281067841096,-0.265979813289247,1000.0
Noricum,-0.2900259342948675,-0.36239436847789874,-0.11091985236006376,-0.23229108853357797,0.17900655013936445,-0.497564601471362,0.230607437808345,1000.0
Africa Proconsularis,-0.2851950211369295,-0.4925755944833875,0.08332722968493603,-0.19240640418296134,0.39577317999767775,-0.909361925155041,0.679717420240164,1000.0
Cappadocia,-0.268121728281127,-0.3480775204757807,-0.14974789146342551,-0.2907856969076904,0.1560790496824279,-0.638978471629265,-0.0611386072882245,1000.0
Cyrene,-0.25689095467504797,-0.492849867131849,-0.07986731015507889,-0.2363952541753766,0.42516755282318264,-0.913764492090639,1.0435213052623,1000.0
Dacia,-0.2225304409765465,-0.4405482982411075,0.23101792974588575,-0.1523737935321526,0.36310474429434203,-0.70224637228739,0.610685409571946,1000.0
Mauretania Tingitana,-0.211570226847265,-0.25158512815686773,-0.16750304062671476,-0.2091726139351576,0.058183048112324595,-0.326359187653454,-0.0588156163290792,1000.0
Thracia,-0.194587229267935,-0.5881060252093308,-0.04189397236462372,-0.269843742354155,0.35020016492126094,-0.912025260037131,0.482019313432929,1000.0
Arabia,-0.1798859383441845,-0.28453322009728554,-0.03095152591541445,-0.21545460397193306,0.27242324089894554,-0.910322842011443,0.245159058908888,1000.0
Corsica,-0.1388741229637025,-0.15578329584551798,-0.06866664125579948,-0.11830297346600531,0.048734779967068105,-0.177232343281336,-0.0078956941949011,1000.0
Alpes Cottiae,-0.09605262361692396,-0.122091976434103,-0.06678074648994199,-0.09499604374096035,0.032608897132807596,-0.159273587926639,-0.0125296648323086,1000.0
Alpes Graiae,-0.0439103692079054,-0.057818245416022845,-0.0288767943307209,-0.03494045677807343,0.03796939573933441,-0.105833710912468,0.0637522389622377,1000.0
Pannonia Inferior,-0.01411835481861105,-0.1390519004000385,0.11827871465077774,-0.026619173750555097,0.1558280898591735,-0.323827906983093,0.258250139306643,1000.0
Aquitania,0.03212995120892055,-0.09024174738742755,0.2956080739598565,0.10950259965927593,0.26196155027617984,-0.371276896960441,0.740813197915667,1000.0
Britannia,0.03487213580796005,-0.03145094211939095,0.12216516866127,0.06500577462756553,0.1336752552845201,-0.143197533329374,0.496214158785425,1000.0
Raetia,0.06567077415169505,0.03941937107837115,0.09219216064852685,0.07216408417812105,0.05570170461710401,-0.0572709310886633,0.223401578121666,1000.0
Mauretania Caesariensis,0.1200476107185045,0.07796364603495295,0.18646819631422926,0.13473439320230357,0.11693355445553268,-0.180563950715412,0.414971082396997,1000.0
Moesia Superior,0.1251563906954105,0.026647908206445428,0.29011117584076973,0.15897606324484614,0.22598259551068292,-0.306865728299418,0.651364802151471,1000.0
Alpes Maritimae,0.14105462813164948,0.10727383086076575,0.216899840701762,0.1556996285411743,0.061130549617512915,0.0029907124262857,0.26902123326754,1000.0
Numidia,0.162041144281233,0.08432549609818485,0.32293074380444453,0.19504333967988766,0.14493979833339643,-0.146007694901411,0.544442197897443,1000.0
Belgica,0.16750241702442,0.08420684854502593,0.41411613221684623,0.23021279546158196,0.23809590924603952,-0.308081266914076,0.808326747950302,1000.0
Moesia Inferior,0.206841190506182,0.11858235409165675,0.27829296603700004,0.2143278140614476,0.21033706863712245,-0.245034841373306,0.820631992447752,1000.0
Dalmatia,0.215499134400493,0.1170027388747325,0.31508455542270924,0.19680873124027548,0.14340865240673023,-0.165047965269153,0.452900403623144,1000.0
Sardinia,0.22627386113377151,0.19396893227350376,0.2801277942432052,0.23960409366673918,0.07701404344828697,-0.0542851175498072,0.465046637819451,1000.0
